xinput	yinput
1	1.89
1.2	1.65
1.4	1.68
1.6	4.06
1.8	1.68
2	2.67
2.2	2.54
2.4	2.1
2.6	1.55
2.8	2.02
3	1.63
3.2	1.95
3.4	1.56
3.6	2.21
3.8	1.92
4	2.48
4.2	4.95
4.4	4.36
4.6	3.23
4.8	3.14
5	1.68
5.2	1.75
5.4	2.82
5.6	2.97
5.8	1.5
6	4.97
6.2	1.6
6.4	2.03
6.6	1.72
