xinput	yinput
Australia	1.89
Austria	1.65
Belgium	1.68
Brazil	4.06
Canada	1.68
Chile	2.67
China	2.54
CzechRepublic	2.1
Denmark	1.55
Estonia	2.02
Finland	1.63
France	1.95
Germany	1.56
Greece	2.21
Hungary	1.92
Iceland	2.48
India	4.95
Indonesia	4.36
Ireland	3.23
Israel	3.14
Italy	1.68
Japan	1.75
Korea	2.82
